260,673,s2
260,673,s2
260,656,s2
260,656,s2
270,644,s2
291,629,s2
311,626,s2
345,612,s2
384,603,s2
431,593,s2
485,587,s2
543,584,s2
600,587,s2
651,595,s2
695,611,s2
727,635,s2
743,670,s2
741,715,s2
720,767,s2
684,827,s2
632,893,s2
576,963,s2
520,1030,s2
469,1093,s2
431,1146,s2
412,1188,s2
413,1214,s2
434,1226,s2
479,1223,s2
534,1211,s2
601,1192,s2
667,1174,s2
737,1150,s2
799,1132,s2
850,1118,s2
891,1112,s2

357,650,s2
352,638,s2
343,632,s2
343,632,s2
331,620,s2
322,626,s2
322,626,s2
322,626,s2
348,627,s2
372,630,s2
406,630,s2
449,634,s2
499,638,s2
553,645,s2
605,655,s2
650,672,s2
683,697,s2
698,729,s2
697,772,s2
675,824,s2
632,886,s2
576,954,s2
516,1024,s2
455,1093,s2
402,1154,s2
366,1204,s2
351,1241,s2
362,1263,s2
395,1267,s2
452,1258,s2
521,1243,s2
600,1225,s2
673,1216,s2
752,1207,s2
820,1204,s2
880,1205,s2
935,1211,s2

390,682,s2
390,682,s2
400,665,s2
418,652,s2
435,644,s2
465,629,s2
494,623,s2
531,614,s2
565,616,s2
602,620,s2
631,632,s2
652,650,s2
665,679,s2
669,713,s2
662,753,s2
646,798,s2
619,847,s2
583,901,s2
540,952,s2
498,1004,s2
460,1054,s2
424,1102,s2
395,1143,s2
374,1180,s2
364,1209,s2
368,1232,s2
384,1249,s2
410,1260,s2
439,1264,s2
476,1262,s2
517,1256,s2
560,1247,s2
603,1237,s2
639,1225,s2
675,1207,s2
709,1195,s2
739,1180,s2
769,1167,s2

406,710,s2
401,697,s2
407,686,s2
407,686,s2
426,673,s2
452,664,s2
473,662,s2
503,659,s2
531,664,s2
561,672,s2
587,689,s2
609,711,s2
621,739,s2
625,774,s2
618,817,s2
601,862,s2
573,914,s2
538,964,s2
495,1016,s2
453,1069,s2
415,1117,s2
382,1159,s2
360,1195,s2
349,1226,s2
354,1250,s2
373,1267,s2
403,1277,s2
443,1278,s2
488,1272,s2
537,1262,s2
587,1244,s2
629,1229,s2
672,1211,s2
711,1190,s2
746,1168,s2
779,1147,s2

483,783,s2
483,783,s2
483,783,s2
472,778,s2
472,778,s2
472,778,s2
472,778,s2
472,778,s2
472,778,s2
488,763,s2
498,758,s2
516,747,s2
532,740,s2
553,732,s2
572,730,s2
594,727,s2
611,731,s2
627,738,s2
638,751,s2
648,766,s2
652,785,s2
654,804,s2
650,826,s2
642,850,s2
631,878,s2
617,904,s2
600,932,s2
580,960,s2
560,987,s2
537,1013,s2
515,1037,s2
493,1057,s2
473,1074,s2
456,1088,s2
441,1097,s2
428,1103,s2
417,1109,s2
417,1109,s2
407,1115,s2
407,1115,s2
407,1115,s2
422,1120,s2
437,1122,s2
458,1121,s2
482,1119,s2
513,1115,s2
545,1113,s2
582,1109,s2
618,1105,s2
652,1102,s2
684,1099,s2
712,1102,s2
738,1104,s2
760,1105,s2
774,1110,s2
783,1110,s2

465,900,s2
471,877,s2
478,866,s2
489,854,s2
507,837,s2
521,827,s2
544,813,s2
561,806,s2
585,799,s2
602,797,s2
621,796,s2
635,802,s2
648,810,s2
656,820,s2
662,830,s2
662,846,s2
659,865,s2
650,889,s2
635,913,s2
616,941,s2
593,969,s2
566,1001,s2
539,1031,s2
512,1060,s2
486,1087,s2
463,1111,s2
445,1130,s2
429,1146,s2
420,1159,s2
417,1169,s2
417,1169,s2
430,1177,s2
447,1178,s2
469,1176,s2
496,1172,s2
528,1168,s2
561,1161,s2
597,1156,s2
632,1154,s2
668,1150,s2
700,1151,s2
727,1155,s2
748,1155,s2
764,1155,s2

415,836,s2
408,818,s2
403,805,s2
403,785,s2
419,766,s2
431,754,s2
457,734,s2
477,725,s2
507,714,s2
534,711,s2
564,709,s2
590,714,s2
615,721,s2
634,733,s2
648,747,s2
654,767,s2
653,788,s2
645,813,s2
629,840,s2
605,869,s2
575,902,s2
539,932,s2
501,964,s2
462,995,s2
425,1027,s2
389,1058,s2
357,1086,s2
330,1111,s2
312,1134,s2
302,1155,s2
301,1172,s2
309,1188,s2
325,1199,s2
348,1209,s2
378,1217,s2
412,1224,s2
451,1228,s2
488,1231,s2
528,1231,s2
564,1231,s2
599,1231,s2
630,1228,s2
657,1223,s2
680,1220,s2
698,1220,s2
721,1213,s2
734,1213,s2
743,1215,s2
743,1215,s2
743,1215,s2

412,842,s2
408,829,s2
408,820,s2
421,805,s2
445,790,s2
469,781,s2
502,768,s2
533,763,s2
568,755,s2
598,754,s2
627,755,s2
651,761,s2
670,770,s2
681,784,s2
687,801,s2
684,823,s2
674,848,s2
657,878,s2
635,909,s2
604,943,s2
574,977,s2
540,1011,s2
507,1045,s2
476,1077,s2
451,1106,s2
430,1130,s2
416,1153,s2
411,1174,s2
416,1191,s2
426,1205,s2
447,1216,s2
471,1225,s2
501,1234,s2
537,1240,s2
575,1246,s2
612,1247,s2
649,1249,s2
685,1249,s2
721,1248,s2
752,1246,s2
777,1248,s2
801,1246,s2
820,1243,s2
833,1243,s2
845,1238,s2

395,850,s2
398,829,s2
398,815,s2
410,794,s2
429,773,s2
451,758,s2
483,741,s2
517,734,s2
556,727,s2
590,732,s2
623,740,s2
648,760,s2
666,788,s2
675,826,s2
676,870,s2
666,921,s2
650,974,s2
624,1029,s2
593,1085,s2
557,1140,s2
525,1187,s2
493,1226,s2
470,1260,s2
456,1286,s2
451,1304,s2
459,1314,s2
478,1316,s2
507,1314,s2
547,1310,s2
589,1301,s2
637,1295,s2
686,1289,s2
728,1289,s2
767,1292,s2
804,1292,s2
831,1297,s2
855,1298,s2

430,861,s2
462,838,s2
490,824,s2
523,807,s2
561,796,s2
596,797,s2
632,802,s2
657,820,s2
674,845,s2
681,882,s2
680,923,s2
664,971,s2
643,1023,s2
616,1078,s2
589,1129,s2
559,1179,s2
538,1222,s2
525,1260,s2
521,1292,s2
530,1316,s2
553,1331,s2
592,1337,s2
641,1339,s2
699,1334,s2
770,1319,s2
839,1305,s2
916,1281,s2

325,426,s2
338,414,s2
365,394,s2
392,382,s2
421,370,s2
462,359,s2
496,373,s2
528,397,s2
542,442,s2
546,500,s2
530,580,s2
499,673,s2
457,779,s2
405,894,s2
353,993,s2
305,1086,s2
265,1165,s2
238,1231,s2
230,1278,s2
239,1305,s2
263,1318,s2
303,1315,s2
354,1305,s2
411,1286,s2
473,1265,s2
535,1240,s2
593,1219,s2
645,1198,s2
692,1180,s2
732,1167,s2
756,1156,s2
775,1146,s2
782,1135,s2

291,533,s2
275,530,s2
270,519,s2
265,508,s2
268,494,s2
288,473,s2
309,455,s2
345,428,s2
380,407,s2
425,382,s2
468,365,s2
512,352,s2
548,349,s2
579,358,s2
597,379,s2
605,415,s2
598,468,s2
579,536,s2
545,620,s2
503,715,s2
456,812,s2
405,912,s2
356,1009,s2
311,1096,s2
272,1173,s2
240,1237,s2
224,1287,s2
214,1325,s2
215,1348,s2
227,1362,s2
246,1367,s2
275,1365,s2
312,1357,s2
354,1344,s2
401,1329,s2
450,1312,s2
500,1295,s2
552,1280,s2
598,1268,s2
639,1258,s2
676,1249,s2
706,1243,s2
739,1231,s2
761,1222,s2
775,1218,s2
775,1218,s2
786,1204,s2

357,796,s2
356,773,s2
351,755,s2
352,733,s2
358,709,s2
367,691,s2
386,668,s2
404,653,s2
429,636,s2
455,626,s2
482,619,s2
505,619,s2
533,620,s2
553,629,s2
572,640,s2
584,658,s2
593,681,s2
594,709,s2
591,737,s2
580,774,s2
566,812,s2
544,853,s2
520,896,s2
487,939,s2
457,981,s2
421,1022,s2
386,1062,s2
354,1099,s2
321,1133,s2
291,1164,s2
266,1190,s2
244,1214,s2
226,1235,s2
212,1254,s2
204,1268,s2
197,1282,s2
197,1291,s2
197,1291,s2
203,1304,s2
212,1306,s2
223,1306,s2
239,1305,s2
258,1303,s2
279,1299,s2
306,1295,s2
334,1290,s2
364,1284,s2
394,1280,s2
424,1276,s2
452,1271,s2
483,1266,s2
510,1265,s2
